document_id,author_id,author_role,team,department,created_date,updated_date,approval_status,approval_date,version,status,authority_level,confidentiality_level,document_type,source_type,review_frequency,next_review_date
ADR-001,emp_102,Senior Engineer,Engineering Core Team,Engineering,2021-03-15,2021-03-15,Approved,2021-03-15,1.0,Superseded,Senior Engineer,Internal,Architecture Decision Record,Git Markdown,Annual,2022-03-15
ADR-002,emp_003,Architecture Board,Security Core Team,Security,2025-09-01,2025-09-01,Approved,2025-09-01,1.0,Active,Architecture Board,Internal,Architecture Decision Record,Confluence,Annual,2026-09-01
DOC-0003,emp_004,Security Engineer,Security Core Team,Security,2025-05-10,2025-05-10,Approved,2025-05-10,1.0,Active,Senior Architect,Restricted,Policy,Git Markdown,Annual,2026-05-10
DOC-0004,emp_130,Architecture Board,Data Engineering Core Team,Data Engineering,2022-03-24,2023-07-13,Approved,2023-07-13,3.2,Active,Architecture Board,Confidential,Technical Design Document,Confluence,Annual,2024-07-12
DOC-0005,emp_448,Engineer,Product Core Team,Product,2021-11-15,2023-01-29,Approved,2023-01-29,1.1,Superseded,Engineer,Restricted,Meeting Decision,Git Markdown,Annual,2024-01-29
DOC-0006,emp_665,Chief Architect,Engineering Core Team,Engineering,2025-08-26,2026-07-13,Draft,,3.0,Draft,Chief Architect,Public,Meeting Decision,Confluence,Annual,2027-07-13
DOC-0007,emp_384,Engineer,Platform Core Team,Platform,2024-07-25,2025-08-02,Draft,,3.1,Draft,Engineer,Public,Policy,Git Markdown,Annual,2026-08-02
DOC-0008,emp_755,Principal Engineer,Security Core Team,Security,2022-03-26,2026-01-26,Draft,,1.0,Draft,Principal Engineer,Public,Deprecated Document,Confluence,Annual,2027-01-26
DOC-0009,emp_771,Architecture Team,Data Engineering Core Team,Data Engineering,2023-03-22,2025-10-16,Draft,,3.2,Draft,Architecture Team,Restricted,Policy,Git Markdown,Annual,2026-10-16
DOC-0010,emp_621,Senior Architect,Architecture Core Team,Architecture,2021-07-06,2025-09-30,Approved,2025-09-30,1.2,Active,Senior Architect,Internal,Policy,Confluence,Annual,2026-09-30
DOC-0011,emp_357,Unverified,Security Core Team,Security,2025-10-29,2025-11-03,Draft,,2.0,Draft,Unverified,Restricted,Deprecated Document,Git Markdown,Annual,2026-11-03
