document_id,title,document_type,topic,content,summary,department,project,system,technology,author_id,author_role,created_date,updated_date,status,approval_status,version,is_current,is_superseded,supersedes_document_id,authority_level,confidentiality_level,owner_team,source_type,url_or_reference,language
ADR-001,ADR-001: Database Choice and Selection for Project Alpha (Legacy MySQL),Architecture Decision Record,databases,Decision: Use MySQL 5.7 for Project Alpha core database data storage due to team familiarity. Status: Superseded by ADR-021.,Legacy decision selecting MySQL database for Project Alpha.,Engineering,Project Alpha,Payment Gateway,MySQL,emp_102,Senior Engineer,2021-03-15,2021-03-15,Superseded,Approved,1.0,False,True,,Senior Engineer,Internal,Engineering Core Team,Git Markdown,https://wiki.org/docs/ADR-001,en
ADR-002,ADR-002: User Authentication Protocol Standard for Project Beta,Architecture Decision Record,authentication,Decision: OAuth 2.0 with OpenID Connect (OIDC) via Okta is mandatory for all user authentication in Project Beta.,Mandatory OAuth2/OIDC authentication standard.,Security,Project Beta,Auth Service,OAuth2/OIDC,emp_003,Architecture Board,2025-09-01,2025-09-01,Active,Approved,1.0,True,False,,Architecture Board,Internal,Security Core Team,Confluence,https://wiki.org/docs/ADR-002,en
DOC-0003,SEC-101: Restricted Infrastructure Encryption Keys Policy,Policy,security,Restricted security specification detailing AES-256 KMS key rotation protocols for confidential customer data.,Restricted encryption policy for sensitive infrastructure.,Security,Project Restricted,Auth Service,KMS AES-256,emp_004,Security Engineer,2025-05-10,2025-05-10,Active,Approved,1.0,True,False,,Senior Architect,Restricted,Security Core Team,Git Markdown,https://wiki.org/docs/DOC-0003,en
DOC-0004,Technical Design Document: Deployment Guidelines for Project Alpha,Technical Design Document,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Alpha system Metrics Engine.,Comprehensive architecture guidelines covering deployment within Project Alpha.,Data Engineering,Project Alpha,Metrics Engine,Deployment,emp_130,Architecture Board,2022-03-24,2023-07-13,Active,Approved,3.2,True,False,,Architecture Board,Confidential,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0004,en
DOC-0005,Meeting Decision: Databases Guidelines for Enterprise Gateway,Meeting Decision,databases,"Title: Meeting Decision for Enterprise Gateway
Department: Product

MySQL version 5.7 is recommended for legacy data handling in Enterprise Gateway. Note: This is being evaluated for migration.",Comprehensive architecture guidelines covering databases within Enterprise Gateway.,Product,Enterprise Gateway,Data Pipeline,MySQL,emp_448,Engineer,2021-11-15,2023-01-29,Superseded,Approved,1.1,False,True,,Engineer,Restricted,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0005,en
DOC-0006,Meeting Decision: Caching Guidelines for Project Omega,Meeting Decision,caching,Technical assessment and standard guidelines regarding caching implementation for Project Omega system Metrics Engine.,Comprehensive architecture guidelines covering caching within Project Omega.,Engineering,Project Omega,Metrics Engine,Caching,emp_665,Chief Architect,2025-08-26,2026-07-13,Draft,Draft,3.0,True,False,,Chief Architect,Public,Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0006,en
DOC-0007,Policy: Authentication Guidelines for Enterprise Gateway,Policy,authentication,"Title: Policy for Enterprise Gateway
Department: Platform

JWT tokens signed with RS256 algorithm are required for microservice-to-microservice auth in Enterprise Gateway.",Comprehensive architecture guidelines covering authentication within Enterprise Gateway.,Platform,Enterprise Gateway,Payment Gateway,JWT RS256,emp_384,Engineer,2024-07-25,2025-08-02,Draft,Draft,3.1,True,False,,Engineer,Public,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0007,en
DOC-0008,Deprecated Document: Containers Guidelines for Project Beta,Deprecated Document,containers,Technical assessment and standard guidelines regarding containers implementation for Project Beta system Metrics Engine.,Comprehensive architecture guidelines covering containers within Project Beta.,Security,Project Beta,Metrics Engine,Containers,emp_755,Principal Engineer,2022-03-26,2026-01-26,Draft,Draft,1.0,True,False,,Principal Engineer,Public,Security Core Team,Confluence,https://wiki.org/docs/DOC-0008,en
DOC-0009,Policy: Authentication Guidelines for Project Beta,Policy,authentication,"Title: Policy for Project Beta
Department: Data Engineering

JWT tokens signed with RS256 algorithm are required for microservice-to-microservice auth in Project Beta.",Comprehensive architecture guidelines covering authentication within Project Beta.,Data Engineering,Project Beta,Event Bus,JWT RS256,emp_771,Architecture Team,2023-03-22,2025-10-16,Draft,Draft,3.2,True,False,,Architecture Team,Restricted,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0009,en
DOC-0010,Policy: Infrastructure Guidelines for Project Delta,Policy,infrastructure,Technical assessment and standard guidelines regarding infrastructure implementation for Project Delta system User Portal.,Comprehensive architecture guidelines covering infrastructure within Project Delta.,Architecture,Project Delta,User Portal,Infrastructure,emp_621,Senior Architect,2021-07-06,2025-09-30,Active,Approved,1.2,True,False,,Senior Architect,Internal,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0010,en
DOC-0011,Deprecated Document: Authentication Guidelines for Project Delta,Deprecated Document,authentication,"Title: Deprecated Document for Project Delta
Department: Security

OAuth 2.0 with OpenID Connect (OIDC) via Okta is mandatory for all user authentication in Project Delta.",Comprehensive architecture guidelines covering authentication within Project Delta.,Security,Project Delta,Inventory System,OAuth2/OIDC,emp_357,Unverified,2025-10-29,2025-11-03,Draft,Draft,2.0,True,False,,Unverified,Restricted,Security Core Team,Git Markdown,https://wiki.org/docs/DOC-0011,en
DOC-0012,Meeting Decision: Kubernetes Guidelines for Project Omega,Meeting Decision,Kubernetes,Technical assessment and standard guidelines regarding Kubernetes implementation for Project Omega system Data Pipeline.,Comprehensive architecture guidelines covering Kubernetes within Project Omega.,Product,Project Omega,Data Pipeline,Kubernetes,emp_208,Unverified,2025-09-20,2026-06-06,Draft,Under Review,1.2,True,False,,Unverified,Public,Product Core Team,Confluence,https://wiki.org/docs/DOC-0012,en
DOC-0013,Project Documentation: Authorization Guidelines for Project Gamma,Project Documentation,authorization,Technical assessment and standard guidelines regarding authorization implementation for Project Gamma system Search Engine.,Comprehensive architecture guidelines covering authorization within Project Gamma.,Product,Project Gamma,Search Engine,Authorization,emp_159,Architecture Team,2025-12-04,2026-04-28,Superseded,Approved,2.0,False,True,,Architecture Team,Internal,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0013,en
DOC-0014,Project Documentation: Deployment Guidelines for Project Beta,Project Documentation,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Beta system Metrics Engine.,Comprehensive architecture guidelines covering deployment within Project Beta.,Architecture,Project Beta,Metrics Engine,Deployment,emp_652,Architecture Team,2024-12-31,2025-11-15,Draft,Rejected,3.1,True,False,,Architecture Team,Confidential,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0014,en
DOC-0015,Deprecated Document: Containers Guidelines for Project Beta,Deprecated Document,containers,Technical assessment and standard guidelines regarding containers implementation for Project Beta system Event Bus.,Comprehensive architecture guidelines covering containers within Project Beta.,Engineering,Project Beta,Event Bus,Containers,emp_702,Architecture Board,2022-04-17,2025-08-04,Superseded,Under Review,3.2,False,True,,Architecture Board,Public,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0015,en
DOC-0016,Policy: Monitoring Guidelines for Project Alpha,Policy,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Project Alpha system User Portal.,Comprehensive architecture guidelines covering monitoring within Project Alpha.,Data Engineering,Project Alpha,User Portal,Monitoring,emp_785,Principal Engineer,2022-03-15,2025-03-23,Draft,Under Review,3.2,True,False,,Principal Engineer,Confidential,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0016,en
DOC-0017,Standard: Data Storage Guidelines for Project Beta,Standard,data storage,Technical assessment and standard guidelines regarding data storage implementation for Project Beta system Payment Gateway.,Comprehensive architecture guidelines covering data storage within Project Beta.,Engineering,Project Beta,Payment Gateway,Data Storage,emp_462,Engineer,2023-04-22,2025-12-03,Active,Approved,3.0,True,False,,Engineer,Public,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0017,en
DOC-0018,Engineering Note: Authorization Guidelines for Project Beta,Engineering Note,authorization,Technical assessment and standard guidelines regarding authorization implementation for Project Beta system User Portal.,Comprehensive architecture guidelines covering authorization within Project Beta.,Platform,Project Beta,User Portal,Authorization,emp_559,Unverified,2023-05-15,2024-05-24,Draft,Draft,1.1,True,False,,Unverified,Public,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0018,en
