query_id,document_id,relevance_score,is_authoritative
Q-01,ADR-021,1.0,True
Q-02,ADR-002,1.0,True
Q-03,DOC-0003,1.0,True
Q-04,ADR-001,1.0,True
Q-05,ADR-001,1.0,True
Q-06,DOC-0047,1.0,True
Q-07,ADR-002,1.0,True
Q-08,DOC-0013,1.0,True
Q-09,DOC-0086,1.0,True
Q-10,DOC-0055,1.0,True
Q-11,DOC-0115,1.0,True
Q-12,DOC-0179,1.0,True
Q-13,DOC-0085,1.0,True
Q-14,DOC-0020,1.0,True
Q-15,DOC-0023,1.0,True
Q-16,DOC-0076,1.0,True
Q-17,DOC-0003,1.0,True
Q-18,DOC-0017,1.0,True
Q-19,DOC-0102,1.0,True
Q-20,DOC-0071,1.0,True
Q-21,DOC-0026,1.0,True
Q-22,DOC-0004,1.0,True
Q-23,DOC-0010,1.0,True
Q-24,DOC-0032,1.0,True
Q-25,DOC-0070,1.0,True
Q-26,DOC-0117,1.0,True
Q-27,ADR-001,1.0,True
Q-28,DOC-0047,1.0,True
Q-29,ADR-002,1.0,True
Q-30,DOC-0013,1.0,True
Q-31,DOC-0086,1.0,True
Q-32,DOC-0055,1.0,True
Q-33,DOC-0115,1.0,True
Q-34,DOC-0179,1.0,True
Q-35,DOC-0085,1.0,True
Q-36,DOC-0020,1.0,True
Q-37,DOC-0023,1.0,True
Q-38,DOC-0076,1.0,True
Q-39,DOC-0003,1.0,True
Q-40,DOC-0017,1.0,True
Q-41,DOC-0102,1.0,True
Q-42,DOC-0071,1.0,True
Q-43,DOC-0026,1.0,True
Q-44,DOC-0004,1.0,True
Q-45,DOC-0010,1.0,True
Q-46,DOC-0032,1.0,True
Q-47,DOC-0070,1.0,True
Q-48,DOC-0117,1.0,True
Q-49,ADR-001,1.0,True
Q-50,DOC-0047,1.0,True
