citation_id,document_id,cited_document_id,citation_type,citation_context,citation_date
CIT-00001,DOC-0005,DOC-0058,References,DOC-0005 references architectural principles defined in DOC-0058.,2021-11-15
CIT-00002,DOC-0007,DOC-0191,References,DOC-0007 references architectural principles defined in DOC-0191.,2024-07-25
CIT-00003,DOC-0008,DOC-0004,References,DOC-0008 references architectural principles defined in DOC-0004.,2022-03-26
CIT-00004,DOC-0011,DOC-0397,References,DOC-0011 references architectural principles defined in DOC-0397.,2025-10-29
CIT-00005,DOC-0012,DOC-0488,References,DOC-0012 references architectural principles defined in DOC-0488.,2025-09-20
CIT-00006,DOC-0012,DOC-0838,References,DOC-0012 references architectural principles defined in DOC-0838.,2025-09-20
CIT-00007,DOC-0013,DOC-0620,References,DOC-0013 references architectural principles defined in DOC-0620.,2025-12-04
CIT-00008,DOC-0013,DOC-0724,References,DOC-0013 references architectural principles defined in DOC-0724.,2025-12-04
CIT-00009,DOC-0013,DOC-0191,References,DOC-0013 references architectural principles defined in DOC-0191.,2025-12-04
CIT-00010,DOC-0013,DOC-0481,References,DOC-0013 references architectural principles defined in DOC-0481.,2025-12-04
CIT-00011,DOC-0014,DOC-0454,References,DOC-0014 references architectural principles defined in DOC-0454.,2024-12-31
CIT-00012,DOC-0015,DOC-0082,References,DOC-0015 references architectural principles defined in DOC-0082.,2022-04-17
CIT-00013,DOC-0016,DOC-0270,References,DOC-0016 references architectural principles defined in DOC-0270.,2022-03-15
CIT-00014,DOC-0016,DOC-0148,References,DOC-0016 references architectural principles defined in DOC-0148.,2022-03-15
CIT-00015,DOC-0019,DOC-0720,References,DOC-0019 references architectural principles defined in DOC-0720.,2023-09-13
CIT-00016,ADR-021,DOC-0775,References,ADR-021 references architectural principles defined in DOC-0775.,2025-11-10
CIT-00017,ADR-021,DOC-0234,References,ADR-021 references architectural principles defined in DOC-0234.,2025-11-10
CIT-00018,ADR-021,DOC-0167,References,ADR-021 references architectural principles defined in DOC-0167.,2025-11-10
CIT-00019,DOC-0022,DOC-0616,References,DOC-0022 references architectural principles defined in DOC-0616.,2023-04-07
CIT-00020,DOC-0022,DOC-0423,References,DOC-0022 references architectural principles defined in DOC-0423.,2023-04-07
CIT-00021,DOC-0022,DOC-0519,References,DOC-0022 references architectural principles defined in DOC-0519.,2023-04-07
CIT-00022,DOC-0024,DOC-0845,References,DOC-0024 references architectural principles defined in DOC-0845.,2021-11-20
CIT-00023,DOC-0024,DOC-0354,References,DOC-0024 references architectural principles defined in DOC-0354.,2021-11-20
CIT-00024,DOC-0024,DOC-0754,References,DOC-0024 references architectural principles defined in DOC-0754.,2021-11-20
CIT-00025,DOC-0025,DOC-0671,References,DOC-0025 references architectural principles defined in DOC-0671.,2021-11-15
CIT-00026,DOC-0028,DOC-0067,References,DOC-0028 references architectural principles defined in DOC-0067.,2025-12-16
CIT-00027,DOC-0028,DOC-0064,References,DOC-0028 references architectural principles defined in DOC-0064.,2025-12-16
CIT-00028,DOC-0029,DOC-0925,References,DOC-0029 references architectural principles defined in DOC-0925.,2025-07-01
CIT-00029,DOC-0029,DOC-0751,References,DOC-0029 references architectural principles defined in DOC-0751.,2025-07-01
CIT-00030,DOC-0029,DOC-0062,References,DOC-0029 references architectural principles defined in DOC-0062.,2025-07-01
CIT-00031,DOC-0032,DOC-0013,References,DOC-0032 references architectural principles defined in DOC-0013.,2024-12-22
CIT-00032,DOC-0032,DOC-0763,References,DOC-0032 references architectural principles defined in DOC-0763.,2024-12-22
CIT-00033,DOC-0032,DOC-0691,References,DOC-0032 references architectural principles defined in DOC-0691.,2024-12-22
CIT-00034,DOC-0032,DOC-0091,References,DOC-0032 references architectural principles defined in DOC-0091.,2024-12-22
CIT-00035,DOC-0033,DOC-0715,References,DOC-0033 references architectural principles defined in DOC-0715.,2023-11-05
CIT-00036,DOC-0033,DOC-0698,References,DOC-0033 references architectural principles defined in DOC-0698.,2023-11-05
CIT-00037,DOC-0033,DOC-0621,References,DOC-0033 references architectural principles defined in DOC-0621.,2023-11-05
CIT-00038,DOC-0035,DOC-0745,References,DOC-0035 references architectural principles defined in DOC-0745.,2024-09-21
CIT-00039,DOC-0035,DOC-0860,References,DOC-0035 references architectural principles defined in DOC-0860.,2024-09-21
CIT-00040,DOC-0035,DOC-0327,References,DOC-0035 references architectural principles defined in DOC-0327.,2024-09-21
CIT-00041,DOC-0041,DOC-0234,References,DOC-0041 references architectural principles defined in DOC-0234.,10/14/2025
CIT-00042,DOC-0041,DOC-0602,References,DOC-0041 references architectural principles defined in DOC-0602.,10/14/2025
CIT-00043,DOC-0042,DOC-0420,References,DOC-0042 references architectural principles defined in DOC-0420.,2023-12-30
CIT-00044,DOC-0042,DOC-0477,References,DOC-0042 references architectural principles defined in DOC-0477.,2023-12-30
CIT-00045,DOC-0042,DOC-0902,References,DOC-0042 references architectural principles defined in DOC-0902.,2023-12-30
CIT-00046,DOC-0050,DOC-0430,References,DOC-0050 references architectural principles defined in DOC-0430.,2025-12-08
CIT-00047,DOC-0050,DOC-0973,References,DOC-0050 references architectural principles defined in DOC-0973.,2025-12-08
CIT-00048,DOC-0050,DOC-0026,References,DOC-0050 references architectural principles defined in DOC-0026.,2025-12-08
CIT-00049,DOC-0050,DOC-0895,References,DOC-0050 references architectural principles defined in DOC-0895.,2025-12-08
CIT-00050,DOC-0051,DOC-0391,References,DOC-0051 references architectural principles defined in DOC-0391.,2021-07-10
CIT-00051,DOC-0051,DOC-0892,References,DOC-0051 references architectural principles defined in DOC-0892.,2021-07-10
CIT-00052,DOC-0051,DOC-0648,References,DOC-0051 references architectural principles defined in DOC-0648.,2021-07-10
CIT-00053,DOC-0052,DOC-0015,References,DOC-0052 references architectural principles defined in DOC-0015.,2022-07-09
CIT-00054,DOC-0052,DOC-0445,References,DOC-0052 references architectural principles defined in DOC-0445.,2022-07-09
CIT-00055,DOC-0052,DOC-0811,References,DOC-0052 references architectural principles defined in DOC-0811.,2022-07-09
CIT-00056,DOC-0055,DOC-0223,References,DOC-0055 references architectural principles defined in DOC-0223.,2023-04-01
CIT-00057,DOC-0055,DOC-0098,References,DOC-0055 references architectural principles defined in DOC-0098.,2023-04-01
CIT-00058,DOC-0056,DOC-0154,References,DOC-0056 references architectural principles defined in DOC-0154.,2024-05-26
CIT-00059,DOC-0056,DOC-0278,References,DOC-0056 references architectural principles defined in DOC-0278.,2024-05-26
CIT-00060,DOC-0056,DOC-0346,References,DOC-0056 references architectural principles defined in DOC-0346.,2024-05-26
CIT-00061,DOC-0056,DOC-0203,References,DOC-0056 references architectural principles defined in DOC-0203.,2024-05-26
CIT-00062,DOC-0057,DOC-0163,References,DOC-0057 references architectural principles defined in DOC-0163.,2024-07-05
CIT-00063,DOC-0057,DOC-0311,References,DOC-0057 references architectural principles defined in DOC-0311.,2024-07-05
CIT-00064,DOC-0057,DOC-0850,References,DOC-0057 references architectural principles defined in DOC-0850.,2024-07-05
CIT-00065,DOC-0057,DOC-0979,References,DOC-0057 references architectural principles defined in DOC-0979.,2024-07-05
CIT-00066,DOC-0059,DOC-0499,References,DOC-0059 references architectural principles defined in DOC-0499.,2022-04-06
CIT-00067,DOC-0059,DOC-0622,References,DOC-0059 references architectural principles defined in DOC-0622.,2022-04-06
CIT-00068,DOC-0063,DOC-0362,References,DOC-0063 references architectural principles defined in DOC-0362.,2022-06-01
CIT-00069,DOC-0065,DOC-0723,References,DOC-0065 references architectural principles defined in DOC-0723.,2021-01-29
CIT-00070,DOC-0065,DOC-0489,References,DOC-0065 references architectural principles defined in DOC-0489.,2021-01-29
CIT-00071,DOC-0065,DOC-0623,References,DOC-0065 references architectural principles defined in DOC-0623.,2021-01-29
CIT-00072,DOC-0066,DOC-0532,References,DOC-0066 references architectural principles defined in DOC-0532.,2026-07-01
CIT-00073,DOC-0066,DOC-0966,References,DOC-0066 references architectural principles defined in DOC-0966.,2026-07-01
CIT-00074,DOC-0068,DOC-0014,References,DOC-0068 references architectural principles defined in DOC-0014.,2026-07-02
CIT-00075,DOC-0068,DOC-0980,References,DOC-0068 references architectural principles defined in DOC-0980.,2026-07-02
CIT-00076,DOC-0068,DOC-0316,References,DOC-0068 references architectural principles defined in DOC-0316.,2026-07-02
CIT-00077,DOC-0068,DOC-0647,References,DOC-0068 references architectural principles defined in DOC-0647.,2026-07-02
CIT-00078,DOC-0069,DOC-0701,References,DOC-0069 references architectural principles defined in DOC-0701.,10/26/2023
CIT-00079,DOC-0069,DOC-0634,References,DOC-0069 references architectural principles defined in DOC-0634.,10/26/2023
CIT-00080,DOC-0069,DOC-0440,References,DOC-0069 references architectural principles defined in DOC-0440.,10/26/2023
CIT-00081,DOC-0073,DOC-0827,References,DOC-0073 references architectural principles defined in DOC-0827.,2024-07-30
CIT-00082,DOC-0073,DOC-0706,References,DOC-0073 references architectural principles defined in DOC-0706.,2024-07-30
CIT-00083,DOC-0073,DOC-0885,References,DOC-0073 references architectural principles defined in DOC-0885.,2024-07-30
CIT-00084,DOC-0074,DOC-0065,References,DOC-0074 references architectural principles defined in DOC-0065.,2023-07-25
CIT-00085,DOC-0074,DOC-0019,References,DOC-0074 references architectural principles defined in DOC-0019.,2023-07-25
CIT-00086,DOC-0074,DOC-0458,References,DOC-0074 references architectural principles defined in DOC-0458.,2023-07-25
CIT-00087,DOC-0074,DOC-0379,References,DOC-0074 references architectural principles defined in DOC-0379.,2023-07-25
CIT-00088,DOC-0076,DOC-0705,References,DOC-0076 references architectural principles defined in DOC-0705.,2024-07-10
CIT-00089,DOC-0076,DOC-0240,References,DOC-0076 references architectural principles defined in DOC-0240.,2024-07-10
CIT-00090,DOC-0076,DOC-0932,References,DOC-0076 references architectural principles defined in DOC-0932.,2024-07-10
CIT-00091,DOC-0078,DOC-0806,References,DOC-0078 references architectural principles defined in DOC-0806.,2021-10-16
CIT-00092,DOC-0078,DOC-0288,References,DOC-0078 references architectural principles defined in DOC-0288.,2021-10-16
